ds,yhat,yhat_lower,yhat_upper
2021-01-01,5.304457560981865,5.285283350414241,5.324995957977718
2021-02-01,5.604236476745567,5.585861458431898,5.624537884136537
2021-03-01,5.966913816013294,5.946990504106289,5.985916245684242
2021-04-01,6.319163980668348,6.298482587800041,6.338513400471805
2021-05-01,6.624900622841731,6.605225058294982,6.646741919154219
2021-06-01,6.978530819538586,6.957678487822173,6.997350710049402
2021-07-01,7.340788571900558,7.32105886389962,7.360784360402849
2021-08-01,7.769993821317414,7.750807319982943,7.790006470013689
2021-09-01,8.143115870664937,8.12283500426149,8.162767001426024
2021-10-01,8.569179177349907,8.55012786661879,8.587702978799229
2021-11-01,9.012905702625513,8.992140284626313,9.033787246878529
2021-12-01,9.589949544841659,9.570274351312312,9.610221053223931
2022-01-01,10.080595034045922,10.06094430976204,10.10122855034599
2022-02-01,10.545330118018898,10.52564932695835,10.566428729514298
2022-03-01,11.204743099965718,11.185926303450179,11.224672173564265
2022-04-01,11.715368008998771,11.694849856091546,11.73482368355319
2022-05-01,12.407189391318953,12.38667316857809,12.426981833452913
2022-06-01,13.007765622851686,12.988059808209478,13.02919459408819
2022-07-01,13.728099752730383,13.709506458082574,13.745812837670126
2022-08-01,14.452509041365454,14.432613252227743,14.471868361586361
2022-09-01,15.156070180627571,15.134660586449902,15.17543584431929
2022-10-01,15.84681747799875,15.82719981779729,15.865531793844822
2022-11-01,16.64794660296219,16.62740855927763,16.66718980857684
2022-12-01,17.57386317633371,17.552679123636654,17.593491641309384
2023-01-01,18.631401596014346,18.612129577101523,18.650966252301597
2023-02-01,19.5591914972314,19.5390063303269,19.578801381270193
2023-03-01,20.520433819136674,20.50144808795832,20.540318634246493
2023-04-01,21.259274255843653,21.239741448045322,21.279455453528623
2023-05-01,22.08943273913028,22.068621747885793,22.108696699613038
2023-06-01,22.648284839550943,22.629185008520384,22.668983451468314
2023-07-01,23.118736963021718,23.100471781640152,23.138001642651005
2023-08-01,23.620951291066557,23.600331404988815,23.64127352318786
2023-09-01,24.136825762509655,24.11680519576196,24.155754447811844
2023-10-01,24.695051525061537,24.675616058374207,24.71627623289258
2023-11-01,25.268269985367052,25.246538520305595,25.28841044317358
2023-12-01,25.975086524593,25.95574422131104,25.99293121166544
2024-01-01,26.757668481263455,26.73927332313832,26.77758477587092
2024-02-01,27.47610174522938,27.456528612251937,27.49722647084481
2024-03-01,28.25805481763901,28.237467443101018,28.27947618765389
2024-04-01,29.052662352897276,29.031385578234165,29.07299011647245
2024-05-01,29.85786885476499,29.838002119733844,29.878079451247146
2024-06-01,30.645171221711948,30.6250612849019,30.664176664554656
2024-07-01,31.570134024306512,31.549658566761934,31.590842533709232
2024-08-01,32.44563387493605,32.42658313911565,32.46510628379282
2024-09-01,33.22962191748452,33.208865565331855,33.249542171657545
2024-10-01,34.107206199705736,34.08754422817133,34.12689068571532
2024-11-01,34.981046627025336,34.961952248131595,35.000875418470486
2024-12-01,35.97008488368638,35.94960445056311,35.98922778500077
2025-01-01,36.91280354523116,36.89310532832718,36.933256366495506
2025-02-01,37.79088381612534,37.77023731911943,37.81018381722172
2025-03-01,38.675897863252864,38.65521906273197,38.69633205777291
2025-04-01,39.48732589886663,39.46705678009478,39.507303982447034
2025-05-01,40.23742822261324,40.21792536641066,40.25790986062514
2025-06-01,40.93367799961709,40.91279444653207,40.95409063110965
2025-07-01,41.62750308776042,41.60804014543943,41.64688558143792
2025-08-01,42.29379837093044,42.274420863935745,42.31409392952997
2025-09-01,42.904010454030804,42.885196710201605,42.923264494758484
2025-10-01,43.55891638616458,43.538461257811974,43.57818257161511
2025-11-01,44.135265023166674,44.116351313018434,44.15511638413013
2025-12-01,44.84065284447272,44.82040891385942,44.86013051535421
2026-01-01,45.74515706494284,45.69531374220319,45.790167985089134
2026-02-01,46.623750880181355,46.46213256384826,46.76538759961956
2026-03-01,47.525223710375805,47.2018747397801,47.79139518539107
2026-04-01,48.30384345139697,47.7689718118174,48.74480434601246
2026-05-01,49.09739914878035,48.31285579085242,49.7596320622495
2026-06-01,49.80310083921155,48.76409027916998,50.698811454578596
2026-07-01,50.46055792790593,49.12173005554132,51.555785027866754
2026-08-01,51.11999427398375,49.476987893444125,52.50187339000116
2026-09-01,51.758582470110625,49.79085979775274,53.4749863834116
2026-10-01,52.38645272573825,50.09473623226246,54.38819327221692
2026-11-01,52.98305240143594,50.39669416170497,55.33613655716763
2026-12-01,53.711037249711715,50.768936741668725,56.376016012502895
2027-01-01,54.57694625905912,51.230636381565844,57.6324537398041
2027-02-01,55.45661940756251,51.72615396639746,58.90627590574635
2027-03-01,56.374401436694136,52.23862064289847,60.26972164543859
2027-04-01,57.120659772691376,52.48495800586721,61.41074023551225
2027-05-01,57.95799686819416,52.9571645731488,62.62253661455159
2027-06-01,58.67218717688997,53.24793225935792,63.78942605791767
2027-07-01,59.292966598691386,53.4671282659494,64.90571655539807
2027-08-01,59.94627404047248,53.65630627093022,65.97360901590311
2027-09-01,60.61324162565183,53.92447033875182,67.11436655708242
2027-10-01,61.2141301904025,54.01665469429999,68.16413725724969
2027-11-01,61.83143354631322,54.11351440579134,69.43628864100977
2027-12-01,62.58120672208611,54.464499087112614,70.72091946644343
2028-01-01,63.40817720318792,54.74100234969086,72.11608815807658
2028-02-01,64.28950111299163,54.90804607820602,73.35759938273164
2028-03-01,65.22383575731389,55.31355137265549,74.90626433857732
2028-04-01,66.06849588415713,55.69088194301085,76.24856070113495
2028-05-01,66.77551897643247,55.93047060187152,77.53920670423666
2028-06-01,67.46136515346697,56.076109697834866,78.69000642833969
2028-07-01,68.19120522961845,56.349330808924236,80.03332878894757
2028-08-01,68.8650782629234,56.5246010602484,81.21607242318738
2028-09-01,69.44694049585594,56.38022763727219,82.38012084951778
2028-10-01,70.12891915586819,56.2198611739891,83.60027470878188
2028-11-01,70.68549277664037,56.11194469872744,84.8220199781975
2028-12-01,71.36749863986854,56.39816420508565,85.88799089925529
2029-01-01,72.31021730141332,56.56515232659148,87.3402373731015
2029-02-01,73.18829757230743,56.898846507191365,89.0002951599483
2029-03-01,74.07331161943489,56.94826527388209,90.81769159421994
2029-04-01,74.8847396550488,56.92498784140654,92.15518206046177
2029-05-01,75.63484197879535,57.20709854321283,93.65546336910803
2029-06-01,76.33109175579932,57.3700818963962,95.4297063815283
2029-07-01,77.02491684394255,57.46842194931116,96.71209243348841
2029-08-01,77.6912121271125,57.445009981670985,98.12827870501161
2029-09-01,78.30142421021277,57.39691580351215,99.47353836859276
2029-10-01,78.95633014234673,57.24087213702319,100.81907643933947
2029-11-01,79.53267877934874,56.843556306175905,102.188358967369
2029-12-01,80.23806660065456,57.08327533329312,103.68197694265508
2030-01-01,81.14257082112493,57.31109756669812,105.35243557383357
2030-02-01,82.02116463636328,57.16032091392396,106.94998370631357
2030-03-01,82.92263746655786,57.25445785500419,108.49056276970317
2030-04-01,83.70125720757883,57.1473567908645,109.80596699233895
2030-05-01,84.4948129049623,56.98152261142425,111.39004832817892
2030-06-01,85.20051459539344,56.947584703960196,112.57383546949761
2030-07-01,85.8579716840879,56.828457742347574,113.7980673354748
2030-08-01,86.51740803016565,56.60566621549834,115.22251888042464
2030-09-01,87.15599622629288,56.02946631414675,116.64508488671433
2030-10-01,87.78386648192038,55.947605471905376,118.25492936902754
2030-11-01,88.38046615761797,55.665497810589926,119.42691084039788
2030-12-01,89.10845100589349,55.74232268753246,121.01986858130883
